session_key,meeting_key,driver_number,lap_number,gap_to_leader,interval
202412291,1229,16,1,0.0,0.0
202412291,1229,44,1,0.305,0.305
202412291,1229,4,1,0.525,0.22
202412291,1229,81,1,0.953,0.428
202412291,1229,1,1,1.434,0.48
202412291,1229,30,1,1.854,0.42
202412291,1229,63,1,1.997,0.143
202412291,1229,12,1,2.495,0.498
202412291,1229,14,1,2.899,0.404
202412291,1229,18,1,3.053,0.154
202412291,1229,55,1,3.482,0.429
202412291,1229,23,1,3.944,0.461
202412291,1229,10,1,4.392,0.449
202412291,1229,7,1,4.814,0.422
202412291,1229,22,1,5.083,0.268
202412291,1229,20,1,5.38,0.297
202412291,1229,31,1,5.512,0.132
202412291,1229,87,1,5.689,0.176
202412291,1229,27,1,6.029,0.341
202412291,1229,5,1,6.437,0.408
202412291,1229,16,2,0.0,0.0
202412291,1229,44,2,0.888,0.888
202412291,1229,4,2,1.623,0.735
202412291,1229,81,2,2.025,0.402
202412291,1229,1,2,2.418,0.393
202412291,1229,30,2,3.397,0.979
202412291,1229,63,2,3.995,0.598
202412291,1229,12,2,4.527,0.532
202412291,1229,14,2,4.994,0.467
202412291,1229,18,2,5.869,0.875
202412291,1229,55,2,6.653,0.784
202412291,1229,23,2,7.581,0.928
202412291,1229,10,2,7.784,0.203
202412291,1229,7,2,8.13,0.346
202412291,1229,22,2,8.953,0.824
202412291,1229,20,2,9.335,0.382
202412291,1229,31,2,9.775,0.44
202412291,1229,87,2,10.392,0.617
202412291,1229,27,2,10.703,0.311
202412291,1229,5,2,11.388,0.685
202412291,1229,16,3,0.0,0.0
202412291,1229,44,3,0.72,0.72
202412291,1229,4,3,1.522,0.802
202412291,1229,81,3,1.921,0.399
202412291,1229,1,3,3.058,1.137
202412291,1229,30,3,3.633,0.575
202412291,1229,63,3,4.828,1.195
202412291,1229,12,3,5.257,0.429
202412291,1229,14,3,5.927,0.669
202412291,1229,18,3,7.343,1.416
202412291,1229,55,3,8.823,1.48
202412291,1229,23,3,9.865,1.042
202412291,1229,10,3,10.188,0.323
202412291,1229,7,3,11.334,1.146
202412291,1229,22,3,12.351,1.017
202412291,1229,20,3,13.566,1.215
202412291,1229,31,3,14.699,1.133
202412291,1229,87,3,15.406,0.707
202412291,1229,27,3,16.189,0.782
202412291,1229,5,3,16.634,0.445
202412291,1229,16,4,0.0,0.0
202412291,1229,44,4,1.957,1.957
202412291,1229,4,4,3.75,1.793
202412291,1229,81,4,4.384,0.633
202412291,1229,1,4,6.204,1.82
202412291,1229,30,4,7.966,1.762
202412291,1229,63,4,8.427,0.461
202412291,1229,12,4,9.221,0.794
202412291,1229,14,4,10.459,1.238
202412291,1229,18,4,10.997,0.538
202412291,1229,55,4,12.946,1.949
202412291,1229,23,4,14.318,1.372
202412291,1229,10,4,15.255,0.937
202412291,1229,7,4,16.984,1.728
202412291,1229,22,4,18.099,1.115
202412291,1229,20,4,19.463,1.364
202412291,1229,31,4,21.251,1.788
202412291,1229,87,4,22.28,1.029
202412291,1229,27,4,23.309,1.029
202412291,1229,5,4,24.938,1.629
202412291,1229,16,5,0.0,0.0
202412291,1229,44,5,0.502,0.502
202412291,1229,4,5,2.815,2.313
202412291,1229,81,5,4.765,1.949
202412291,1229,1,5,5.874,1.109
202412291,1229,30,5,8.191,2.317
202412291,1229,63,5,9.828,1.638
202412291,1229,12,5,10.811,0.983
202412291,1229,14,5,12.915,2.104
202412291,1229,18,5,14.336,1.421
202412291,1229,55,5,15.231,0.895
202412291,1229,23,5,16.589,1.358
202412291,1229,10,5,18.99,2.401
202412291,1229,7,5,20.956,1.965
202412291,1229,22,5,23.014,2.059
202412291,1229,20,5,24.913,1.899
202412291,1229,31,5,27.349,2.436
202412291,1229,87,5,29.796,2.447
202412291,1229,27,5,32.12,2.324
202412291,1229,5,5,33.552,1.433
202412301,1230,16,1,0.0,0.0
202412301,1230,44,1,0.406,0.406
202412301,1230,4,1,0.826,0.421
202412301,1230,81,1,0.974,0.147
202412301,1230,1,1,1.303,0.33
202412301,1230,30,1,1.519,0.216
202412301,1230,63,1,1.848,0.329
202412301,1230,12,1,2.112,0.264
202412301,1230,14,1,2.522,0.41
202412301,1230,18,1,2.685,0.162
202412301,1230,55,1,3.056,0.372
202412301,1230,23,1,3.365,0.308
202412301,1230,10,1,3.639,0.274
202412301,1230,7,1,3.998,0.359
202412301,1230,22,1,4.251,0.253
202412301,1230,20,1,4.421,0.17
202412301,1230,31,1,4.564,0.143
202412301,1230,87,1,4.908,0.344
202412301,1230,27,1,5.106,0.199
202412301,1230,5,1,5.407,0.301
202412301,1230,16,2,0.0,0.0
202412301,1230,44,2,0.991,0.991
202412301,1230,4,2,1.219,0.228
202412301,1230,81,2,2.068,0.849
202412301,1230,1,2,2.561,0.493
202412301,1230,30,2,3.374,0.813
202412301,1230,63,2,4.348,0.974
202412301,1230,12,2,5.019,0.672
202412301,1230,14,2,5.521,0.502
202412301,1230,18,2,6.454,0.934
202412301,1230,55,2,7.334,0.879
202412301,1230,23,2,8.254,0.92
202412301,1230,10,2,8.779,0.525
202412301,1230,7,2,9.158,0.38
202412301,1230,22,2,9.497,0.339
202412301,1230,20,2,9.771,0.273
202412301,1230,31,2,10.336,0.565
202412301,1230,87,2,10.844,0.508
202412301,1230,27,2,11.164,0.32
202412301,1230,5,2,12.017,0.853
202412301,1230,16,3,0.0,0.0
202412301,1230,44,3,1.014,1.014
202412301,1230,4,3,1.95,0.936
202412301,1230,81,3,3.401,1.451
202412301,1230,1,3,4.015,0.614
202412301,1230,30,3,5.074,1.059
202412301,1230,63,3,6.134,1.06
202412301,1230,12,3,7.578,1.444
202412301,1230,14,3,9.008,1.43
202412301,1230,18,3,10.2,1.191
202412301,1230,55,3,10.588,0.388
202412301,1230,23,3,11.485,0.897
202412301,1230,10,3,12.346,0.861
202412301,1230,7,3,13.262,0.916
202412301,1230,22,3,14.222,0.96
202412301,1230,20,3,15.503,1.281
202412301,1230,31,3,16.586,1.083
202412301,1230,87,3,17.608,1.023
202412301,1230,27,3,18.436,0.828
202412301,1230,5,3,19.617,1.181
202412301,1230,16,4,0.0,0.0
202412301,1230,44,4,1.211,1.211
202412301,1230,4,4,3.021,1.81
202412301,1230,81,4,3.829,0.808
202412301,1230,1,4,4.391,0.562
202412301,1230,30,4,5.364,0.973
202412301,1230,63,4,6.596,1.232
202412301,1230,12,4,7.641,1.044
202412301,1230,14,4,8.066,0.426
202412301,1230,18,4,8.517,0.45
202412301,1230,55,4,9.849,1.333
202412301,1230,23,4,10.761,0.912
202412301,1230,10,4,12.095,1.334
202412301,1230,7,4,13.726,1.631
202412301,1230,22,4,15.492,1.766
202412301,1230,20,4,15.929,0.436
202412301,1230,31,4,17.798,1.869
202412301,1230,87,4,18.526,0.728
202412301,1230,27,4,19.444,0.918
202412301,1230,5,4,20.962,1.518
202412301,1230,16,5,0.0,0.0
202412301,1230,44,5,1.682,1.682
202412301,1230,4,5,2.829,1.147
202412301,1230,81,5,3.697,0.868
202412301,1230,1,5,5.292,1.595
202412301,1230,30,5,6.167,0.874
202412301,1230,63,5,6.682,0.516
202412301,1230,12,5,7.927,1.245
202412301,1230,14,5,9.435,1.508
202412301,1230,18,5,10.77,1.335
202412301,1230,55,5,12.574,1.804
202412301,1230,23,5,13.961,1.387
202412301,1230,10,5,14.764,0.803
202412301,1230,7,5,15.91,1.146
202412301,1230,22,5,18.304,2.394
202412301,1230,20,5,19.299,0.996
202412301,1230,31,5,21.787,2.487
202412301,1230,87,5,22.806,1.019
202412301,1230,27,5,24.453,1.648
202412301,1230,5,5,25.242,0.789
202412311,1231,16,1,0.0,0.0
202412311,1231,44,1,0.409,0.409
202412311,1231,4,1,0.752,0.343
202412311,1231,81,1,1.232,0.481
202412311,1231,1,1,1.678,0.446
202412311,1231,30,1,2.14,0.462
202412311,1231,63,1,2.44,0.3
202412311,1231,12,1,2.804,0.364
202412311,1231,14,1,3.003,0.199
202412311,1231,18,1,3.257,0.253
202412311,1231,55,1,3.552,0.296
