session_key,meeting_key,driver_number,position,points,grid_position,status
202312291,1229,4,1,25,13,Finished
202312291,1229,63,2,18,7,Finished
202312291,1229,30,3,15,8,Finished
202312291,1229,23,4,0,19,Finished
202312291,1229,44,5,0,12,Finished
202312291,1229,81,6,0,17,Finished
202312291,1229,1,7,0,11,Finished
202312291,1229,14,8,0,20,Finished
202312291,1229,16,9,0,19,Finished
202312291,1229,18,10,0,1,Finished
202312291,1229,20,11,0,10,Finished
202312291,1229,27,12,0,14,Finished
202312291,1229,12,13,0,20,Finished
202312291,1229,5,14,0,15,Finished
202312291,1229,55,15,0,6,Finished
202312291,1229,22,16,0,15,Finished
202312291,1229,87,17,0,20,Finished
202312291,1229,31,18,0,5,Finished
202312291,1229,10,19,0,4,Finished
202312291,1229,7,20,0,1,Finished
202312301,1230,1,1,25,17,Finished
202312301,1230,4,2,18,7,Finished
202312301,1230,16,3,15,17,Finished
202312301,1230,63,4,0,5,Finished
202312301,1230,14,5,0,19,Finished
202312301,1230,44,6,0,4,Finished
202312301,1230,81,7,0,4,Finished
202312301,1230,12,8,0,6,Finished
202312301,1230,30,9,0,4,Finished
202312301,1230,7,10,0,5,Finished
202312301,1230,5,11,0,2,Finished
202312301,1230,23,12,0,5,Finished
202312301,1230,55,13,0,12,Finished
202312301,1230,22,14,0,17,Finished
202312301,1230,31,15,0,17,Finished
202312301,1230,18,16,0,1,Finished
202312301,1230,27,17,0,6,Finished
202312301,1230,10,18,0,4,Finished
202312301,1230,87,19,0,16,Finished
202312301,1230,20,20,0,2,Finished
202312311,1231,44,1,25,5,Finished
202312311,1231,16,2,18,20,Finished
202312311,1231,4,3,15,2,Finished
202312311,1231,30,4,0,14,Finished
202312311,1231,14,5,0,10,Finished
202312311,1231,55,6,0,5,Finished
202312311,1231,1,7,0,9,Finished
202312311,1231,81,8,0,1,Finished
202312311,1231,18,9,0,15,Finished
202312311,1231,20,10,0,13,Finished
202312311,1231,12,11,0,17,Finished
202312311,1231,7,12,0,20,Finished
202312311,1231,27,13,0,4,Finished
202312311,1231,23,14,0,12,Finished
202312311,1231,63,15,0,9,Finished
202312311,1231,10,16,0,4,Finished
202312311,1231,22,17,0,16,Finished
202312311,1231,31,18,0,3,Finished
202312311,1231,87,19,0,1,Finished
202312311,1231,5,20,0,17,Finished
202312321,1232,1,1,25,16,Finished
202312321,1232,4,2,18,7,Finished
202312321,1232,44,3,15,5,Finished
202312321,1232,16,4,0,19,Finished
202312321,1232,12,5,0,15,Finished
202312321,1232,81,6,0,17,Finished
202312321,1232,14,7,0,9,Finished
202312321,1232,63,8,0,11,Finished
202312321,1232,31,9,0,10,Finished
202312321,1232,30,10,0,6,Finished
202312321,1232,7,11,0,3,Finished
202312321,1232,87,12,0,11,Finished
202312321,1232,20,13,0,15,Finished
202312321,1232,55,14,0,14,Finished
202312321,1232,5,15,0,16,Finished
202312321,1232,22,16,0,5,Finished
202312321,1232,23,17,0,20,Finished
202312321,1232,18,18,0,16,Finished
202312321,1232,10,19,0,12,Finished
202312321,1232,27,20,0,15,Finished
202312331,1233,4,1,25,6,Finished
202312331,1233,1,2,18,6,Finished
202312331,1233,63,3,15,8,Finished
202312331,1233,44,4,0,6,Finished
202312331,1233,16,5,0,16,Finished
202312331,1233,14,6,0,20,Finished
202312331,1233,81,7,0,1,Finished
202312331,1233,22,8,0,18,Finished
202312331,1233,23,9,0,11,Finished
202312331,1233,18,10,0,10,Finished
202312331,1233,30,11,0,8,Finished
202312331,1233,87,12,0,19,Finished
202312331,1233,55,13,0,9,Finished
202312331,1233,12,14,0,4,Finished
202312331,1233,20,15,0,16,Finished
202312331,1233,7,16,0,7,Finished
202312331,1233,31,17,0,2,Finished
202312331,1233,10,18,0,9,Finished
202312331,1233,27,19,0,3,Finished
202312331,1233,5,20,0,15,Finished
202312341,1234,1,1,25,7,Finished
202312341,1234,44,2,18,10,Finished
202312341,1234,16,3,15,16,Finished
202312341,1234,55,4,0,14,Finished
202312341,1234,63,5,0,12,Finished
202312341,1234,81,6,0,3,Finished
202312341,1234,4,7,0,7,Finished
202312341,1234,12,8,0,17,Finished
202312341,1234,7,9,0,10,Finished
202312341,1234,30,10,0,16,Finished
202312341,1234,14,11,0,13,Finished
202312341,1234,23,12,0,18,Finished
202312341,1234,27,13,0,9,Finished
202312341,1234,87,14,0,19,Finished
202312341,1234,18,15,0,14,Finished
202312341,1234,20,16,0,3,Finished
202312341,1234,22,17,0,13,Finished
202312341,1234,31,18,0,12,Finished
202312341,1234,10,19,0,17,Finished
202312341,1234,5,20,0,10,Finished
202312351,1235,1,1,25,3,Finished
202312351,1235,4,2,18,4,Finished
202312351,1235,44,3,15,16,Finished
202312351,1235,23,4,0,4,Finished
202312351,1235,12,5,0,16,Finished
202312351,1235,30,6,0,17,Finished
202312351,1235,31,7,0,2,Finished
202312351,1235,16,8,0,17,Finished
202312351,1235,14,9,0,6,Finished
202312351,1235,63,10,0,17,Finished
202312351,1235,27,11,0,12,Finished
202312351,1235,10,12,0,12,Finished
202312351,1235,20,13,0,18,Finished
202312351,1235,81,14,0,14,Finished
202312351,1235,22,15,0,9,Finished
202312351,1235,55,16,0,9,Finished
202312351,1235,18,17,0,15,Finished
202312351,1235,7,18,0,8,Finished
202312351,1235,5,19,0,17,Finished
202312351,1235,87,20,0,11,Finished
202312361,1236,1,1,25,2,Finished
202312361,1236,81,2,18,9,Finished
202312361,1236,16,3,15,13,Finished
202312361,1236,4,4,0,15,Finished
202312361,1236,44,5,0,20,Finished
202312361,1236,30,6,0,9,Finished
202312361,1236,12,7,0,18,Finished
202312361,1236,22,8,0,18,Finished
202312361,1236,55,9,0,18,Finished
202312361,1236,63,10,0,12,Finished
202312361,1236,18,11,0,20,Finished
202312361,1236,14,12,0,18,Finished
202312361,1236,27,13,0,7,Finished
202312361,1236,10,14,0,10,Finished
202312361,1236,87,15,0,11,Finished
202312361,1236,5,16,0,19,Finished
202312361,1236,23,17,0,5,Finished
202312361,1236,31,18,0,7,Finished
202312361,1236,7,19,0,5,Finished
202312361,1236,20,20,0,2,Finished
202312371,1237,44,1,25,7,Finished
202312371,1237,1,2,18,14,Finished
202312371,1237,30,3,15,16,Finished
202312371,1237,16,4,0,1,Finished
202312371,1237,81,5,0,17,Finished
202312371,1237,4,6,0,4,Finished
202312371,1237,55,7,0,8,Finished
202312371,1237,12,8,0,1,Finished
202312371,1237,63,9,0,14,Finished
202312371,1237,23,10,0,10,Finished
202312371,1237,14,11,0,11,Finished
202312371,1237,18,12,0,13,Finished
202312371,1237,87,13,0,9,Finished
202312371,1237,22,14,0,11,Finished
202312371,1237,20,15,0,17,Finished
202312371,1237,10,16,0,6,Finished
202312371,1237,31,17,0,5,Finished
202312371,1237,27,18,0,2,Finished
202312371,1237,7,19,0,9,Finished
202312371,1237,5,20,0,4,Finished
202312381,1238,63,1,25,5,Finished
202312381,1238,16,2,18,6,Finished
202312381,1238,30,3,15,13,Finished
202312381,1238,1,4,0,13,Finished
202312381,1238,14,5,0,6,Finished
202312381,1238,44,6,0,6,Finished
202312381,1238,81,7,0,10,Finished
202312381,1238,7,8,0,16,Finished
202312381,1238,22,9,0,8,Finished
202312381,1238,55,10,0,19,Finished
202312381,1238,23,11,0,12,Finished
202312381,1238,10,12,0,16,Finished
202312381,1238,5,13,0,11,Finished
202312381,1238,12,14,0,15,Finished
202312381,1238,18,15,0,9,Finished
202312381,1238,4,16,0,4,Finished
202312381,1238,20,17,0,4,Finished
202312381,1238,87,18,0,8,Finished
202312381,1238,31,19,0,4,Finished
202312381,1238,27,20,0,2,Finished
202312391,1239,44,1,25,9,Finished
202312391,1239,16,2,18,18,Finished
202312391,1239,63,3,15,6,Finished
202312391,1239,81,4,0,13,Finished
202312391,1239,55,5,0,12,Finished
202312391,1239,4,6,0,5,Finished
202312391,1239,12,7,0,18,Finished
202312391,1239,14,8,0,10,Finished
202312391,1239,18,9,0,4,Finished
202312391,1239,30,10,0,3,Finished
202312391,1239,1,11,0,4,Finished
202312391,1239,22,12,0,12,Finished
202312391,1239,87,13,0,14,Finished
202312391,1239,10,14,0,10,Finished
202312391,1239,5,15,0,18,Finished
202312391,1239,20,16,0,4,Finished
202312391,1239,23,17,0,13,Finished
202312391,1239,7,18,0,15,Finished
202312391,1239,27,19,0,18,Finished
202312391,1239,31,20,0,4,Finished
202312401,1240,4,1,25,11,Finished
202312401,1240,55,2,18,20,Finished
202312401,1240,1,3,15,11,Finished
202312401,1240,44,4,0,7,Finished
202312401,1240,14,5,0,11,Finished
202312401,1240,16,6,0,12,Finished
202312401,1240,63,7,0,5,Finished
202312401,1240,30,8,0,5,Finished
202312401,1240,23,9,0,3,Finished
202312401,1240,81,10,0,14,Finished
202312401,1240,22,11,0,4,Finished
202312401,1240,31,12,0,4,Finished
202312401,1240,7,13,0,12,Finished
202312401,1240,27,14,0,5,Finished
202312401,1240,5,15,0,4,Finished
202312401,1240,10,16,0,3,Finished
202312401,1240,18,17,0,14,Finished
202312401,1240,12,18,0,2,Finished
202312401,1240,87,19,0,12,Finished
202312401,1240,20,20,0,1,Finished
202312411,1241,4,1,25,18,Finished
202312411,1241,1,2,18,2,Finished
202312411,1241,63,3,15,20,Finished
202312411,1241,44,4,0,3,Finished
202312411,1241,14,5,0,19,Finished
202312411,1241,81,6,0,17,Finished
202312411,1241,30,7,0,13,Finished
202312411,1241,55,8,0,3,Finished
202312411,1241,31,9,0,7,Finished
202312411,1241,16,10,0,19,Finished
202312411,1241,23,11,0,17,Finished
202312411,1241,22,12,0,9,Finished
202312411,1241,12,13,0,3,Finished
202312411,1241,5,14,0,6,Finished
202312411,1241,18,15,0,9,Finished
202312411,1241,10,16,0,1,Finished
202312411,1241,7,17,0,17,Finished
202312411,1241,27,18,0,16,Finished
202312411,1241,87,19,0,4,Finished
202312411,1241,20,20,0,11,Finished
202312421,1242,44,1,25,10,Finished
202312421,1242,81,2,18,17,Finished
202312421,1242,23,3,15,6,Finished
202312421,1242,1,4,0,18,Finished
202312421,1242,12,5,0,13,Finished
202312421,1242,30,6,0,18,Finished
202312421,1242,16,7,0,12,Finished
202312421,1242,63,8,0,14,Finished
202312421,1242,55,9,0,7,Finished
202312421,1242,4,10,0,7,Finished
202312421,1242,10,11,0,9,Finished
202312421,1242,14,12,0,14,Finished
202312421,1242,18,13,0,3,Finished
202312421,1242,7,14,0,10,Finished
202312421,1242,31,15,0,18,Finished
202312421,1242,5,16,0,10,Finished
202312421,1242,22,17,0,16,Finished
202312421,1242,20,18,0,1,Finished
202312421,1242,87,19,0,17,Finished
202312421,1242,27,20,0,12,Finished
202312431,1243,44,1,25,19,Finished
202312431,1243,12,2,18,3,Finished
202312431,1243,81,3,15,3,Finished
202312431,1243,14,4,0,19,Finished
202312431,1243,1,5,0,19,Finished
202312431,1243,4,6,0,7,Finished
202312431,1243,63,7,0,3,Finished
202312431,1243,18,8,0,5,Finished
202312431,1243,16,9,0,19,Finished
202312431,1243,30,10,0,16,Finished
202312431,1243,7,11,0,6,Finished
202312431,1243,55,12,0,16,Finished
