session_key,meeting_key,driver_number,position,q1,q2,q3
202312290,1229,1,1,80.009,79.848,79.533
202312290,1229,44,2,80.138,79.968,79.713
202312290,1229,12,3,80.2,80.037,79.765
202312290,1229,4,4,80.278,80.108,79.899
202312290,1229,81,5,80.322,80.164,79.96
202312290,1229,30,6,80.488,80.295,80.099
202312290,1229,16,7,80.597,80.438,80.133
202312290,1229,63,8,80.748,80.527,80.34
202312290,1229,14,9,80.747,80.586,80.413
202312290,1229,55,10,80.926,80.684,80.608
202312290,1229,18,11,80.918,80.652,
202312290,1229,10,12,81.065,80.911,
202312290,1229,23,13,81.19,81.011,
202312290,1229,20,14,81.198,81.08,
202312290,1229,7,15,81.357,81.174,
202312290,1229,87,16,81.513,,
202312290,1229,22,17,81.532,,
202312290,1229,31,18,81.72,,
202312290,1229,5,19,81.819,,
202312290,1229,27,20,81.895,,
202312300,1230,81,1,80.12,79.758,79.607
202312300,1230,16,2,80.022,79.873,79.659
202312300,1230,4,3,80.315,79.972,79.821
202312300,1230,1,4,80.239,80.301,79.969
202312300,1230,30,5,80.409,80.156,80.016
202312300,1230,44,6,80.469,80.304,80.092
202312300,1230,12,7,80.476,80.523,80.245
202312300,1230,63,8,80.657,80.53,80.35
202312300,1230,18,9,80.815,80.552,80.394
202312300,1230,14,10,80.937,80.719,80.527
202312300,1230,23,11,80.99,80.817,
202312300,1230,55,12,81.184,80.853,
202312300,1230,10,13,81.233,80.997,
202312300,1230,22,14,81.297,81.037,
202312300,1230,7,15,81.395,81.169,
202312300,1230,20,16,81.535,,
202312300,1230,31,17,81.624,,
202312300,1230,87,18,81.71,,
202312300,1230,5,19,81.71,,
202312300,1230,27,20,81.863,,
202312310,1231,1,1,80.076,79.811,79.554
202312310,1231,30,2,80.082,79.88,79.637
202312310,1231,81,3,80.24,80.042,79.777
202312310,1231,16,4,80.377,80.149,79.918
202312310,1231,63,5,80.392,80.216,80.042
202312310,1231,4,6,80.559,80.283,80.026
202312310,1231,44,7,80.558,80.372,80.224
202312310,1231,12,8,80.684,80.466,80.34
202312310,1231,18,9,80.793,80.623,80.369
202312310,1231,55,10,80.851,80.792,80.427
202312310,1231,22,11,81.002,80.861,
202312310,1231,23,12,81.115,80.94,
202312310,1231,14,13,81.199,81.044,
202312310,1231,7,14,81.365,81.095,
202312310,1231,87,15,81.345,81.208,
202312310,1231,10,16,81.489,,
202312310,1231,20,17,81.567,,
202312310,1231,31,18,81.717,,
202312310,1231,5,19,81.802,,
202312310,1231,27,20,81.932,,
202312320,1232,16,1,80.062,79.687,79.532
202312320,1232,44,2,80.095,79.937,79.726
202312320,1232,4,3,80.171,80.079,79.675
202312320,1232,12,4,80.262,80.221,79.814
202312320,1232,30,5,80.445,80.18,80.005
202312320,1232,63,6,80.495,80.356,80.114
202312320,1232,81,7,80.576,80.458,80.15
202312320,1232,1,8,80.723,80.512,80.261
202312320,1232,18,9,80.797,80.631,80.438
202312320,1232,55,10,80.923,80.708,80.483
202312320,1232,14,11,80.941,80.853,
202312320,1232,23,12,81.112,80.886,
202312320,1232,10,13,81.291,80.972,
202312320,1232,31,14,81.296,81.062,
202312320,1232,20,15,81.251,81.148,
202312320,1232,7,16,81.449,,
202312320,1232,22,17,81.57,,
202312320,1232,87,18,81.713,,
202312320,1232,5,19,81.799,,
202312320,1232,27,20,81.917,,
202312330,1233,81,1,79.987,79.8,79.61
202312330,1233,16,2,80.145,79.931,79.705
202312330,1233,1,3,80.152,80.017,79.829
202312330,1233,4,4,80.288,80.202,79.788
202312330,1233,30,5,80.448,80.2,80.04
202312330,1233,44,6,80.564,80.256,80.117
202312330,1233,63,7,80.614,80.409,80.174
202312330,1233,12,8,80.671,80.476,80.31
202312330,1233,18,9,80.764,80.588,80.391
202312330,1233,23,10,80.906,80.684,80.493
202312330,1233,14,11,80.932,80.811,
202312330,1233,55,12,81.145,80.881,
202312330,1233,7,13,81.237,81.042,
202312330,1233,31,14,81.345,81.148,
202312330,1233,22,15,81.373,81.222,
202312330,1233,10,16,81.534,,
202312330,1233,87,17,81.523,,
202312330,1233,20,18,81.639,,
202312330,1233,27,19,81.759,,
202312330,1233,5,20,81.887,,
202312340,1234,30,1,79.916,79.792,79.622
202312340,1234,16,2,80.178,79.834,79.698
202312340,1234,44,3,80.103,80.065,79.827
202312340,1234,1,4,80.347,80.05,79.928
202312340,1234,4,5,80.409,80.194,79.96
202312340,1234,12,6,80.444,80.326,80.113
202312340,1234,63,7,80.593,80.42,80.259
202312340,1234,81,8,80.76,80.502,80.328
202312340,1234,14,9,80.83,80.646,80.506
202312340,1234,55,10,80.863,80.743,80.462
202312340,1234,23,11,80.938,80.784,
202312340,1234,18,12,81.087,80.894,
202312340,1234,20,13,81.211,80.977,
202312340,1234,10,14,81.338,81.208,
202312340,1234,22,15,81.416,81.167,
202312340,1234,7,16,81.491,,
202312340,1234,31,17,81.597,,
202312340,1234,87,18,81.717,,
202312340,1234,27,19,81.851,,
202312340,1234,5,20,81.961,,
202312350,1235,4,1,80.016,79.755,79.681
202312350,1235,44,2,80.157,79.933,79.691
202312350,1235,30,3,80.129,80.038,79.677
202312350,1235,16,4,80.283,80.003,79.971
202312350,1235,1,5,80.407,80.17,80.052
202312350,1235,12,6,80.493,80.304,80.127
202312350,1235,81,7,80.565,80.365,80.198
202312350,1235,63,8,80.635,80.49,80.186
202312350,1235,14,9,80.738,80.607,80.355
202312350,1235,23,10,80.915,80.674,80.513
202312350,1235,55,11,81.012,80.761,
202312350,1235,18,12,81.096,80.918,
202312350,1235,10,13,81.146,80.955,
202312350,1235,20,14,81.243,81.123,
202312350,1235,7,15,81.394,81.15,
202312350,1235,22,16,81.467,,
202312350,1235,31,17,81.665,,
202312350,1235,87,18,81.715,,
202312350,1235,5,19,81.842,,
202312350,1235,27,20,81.829,,
202312360,1236,44,1,79.911,79.813,79.627
202312360,1236,16,2,80.121,79.946,79.718
202312360,1236,12,3,80.241,80.091,79.782
202312360,1236,4,4,80.269,80.043,79.929
202312360,1236,1,5,80.444,80.267,80.018
202312360,1236,30,6,80.487,80.386,80.056
202312360,1236,63,7,80.579,80.471,80.257
202312360,1236,81,8,80.718,80.511,80.287
202312360,1236,18,9,80.824,80.704,80.347
202312360,1236,14,10,80.914,80.708,80.543
202312360,1236,23,11,81.047,80.802,
202312360,1236,55,12,81.117,80.913,
202312360,1236,31,13,81.205,80.961,
202312360,1236,7,14,81.261,81.123,
202312360,1236,20,15,81.309,81.184,
202312360,1236,10,16,81.501,,
202312360,1236,22,17,81.597,,
202312360,1236,87,18,81.638,,
202312360,1236,5,19,81.829,,
202312360,1236,27,20,81.924,,
202312370,1237,44,1,79.999,79.762,79.534
202312370,1237,4,2,80.188,79.837,79.664
202312370,1237,16,3,80.203,79.971,79.802
202312370,1237,1,4,80.354,80.106,79.891
202312370,1237,30,5,80.309,80.145,79.959
202312370,1237,12,6,80.468,80.289,80.159
202312370,1237,81,7,80.595,80.409,80.253
202312370,1237,63,8,80.707,80.543,80.347
202312370,1237,23,9,80.921,80.656,80.44
202312370,1237,55,10,80.909,80.645,80.602
202312370,1237,14,11,80.919,80.764,
202312370,1237,18,12,81.049,80.976,
202312370,1237,7,13,81.167,81.038,
202312370,1237,20,14,81.347,81.075,
202312370,1237,10,15,81.402,81.169,
202312370,1237,31,16,81.489,,
202312370,1237,22,17,81.698,,
202312370,1237,87,18,81.632,,
202312370,1237,27,19,81.795,,
202312370,1237,5,20,81.89,,
202312380,1238,4,1,79.939,79.757,79.564
202312380,1238,30,2,80.117,79.883,79.673
202312380,1238,16,3,80.197,80.061,79.738
202312380,1238,1,4,80.302,80.099,79.878
