session_key,meeting_key,driver_number,lap_number,duration,stop_number
202312291,1229,4,25,23.434,1
202312291,1229,4,16,24.364,2
202312291,1229,81,48,25.182,1
202312291,1229,81,29,25.02,2
202312291,1229,16,35,22.928,1
202312291,1229,44,24,24.224,1
202312291,1229,44,35,25.834,2
202312291,1229,1,49,23.922,1
202312291,1229,30,18,24.409,1
202312291,1229,30,24,24.843,2
202312291,1229,63,28,23.059,1
202312291,1229,63,13,21.798,2
202312291,1229,12,20,22.658,1
202312291,1229,12,13,22.98,2
202312291,1229,14,47,25.438,1
202312291,1229,18,34,23.971,1
202312291,1229,55,11,24.272,1
202312291,1229,23,36,25.671,1
202312291,1229,10,17,24.523,1
202312291,1229,7,31,22.801,1
202312291,1229,31,16,24.223,1
202312291,1229,31,22,24.506,2
202312291,1229,87,33,24.85,1
202312291,1229,87,41,22.909,2
202312291,1229,22,47,23.166,1
202312291,1229,22,35,23.752,2
202312291,1229,20,34,22.435,1
202312291,1229,20,27,24.565,2
202312291,1229,27,18,23.138,1
202312291,1229,27,32,25.259,2
202312291,1229,5,11,22.324,1
202312301,1230,4,44,22.84,1
202312301,1230,4,31,23.914,2
202312301,1230,81,48,23.202,1
202312301,1230,81,32,22.169,2
202312301,1230,16,10,22.44,1
202312301,1230,44,33,23.491,1
202312301,1230,1,16,24.6,1
202312301,1230,1,32,23.785,2
202312301,1230,30,18,23.64,1
202312301,1230,30,49,23.57,2
202312301,1230,63,19,24.261,1
202312301,1230,63,30,23.709,2
202312301,1230,12,34,22.478,1
202312301,1230,12,21,24.774,2
202312301,1230,14,27,24.386,1
202312301,1230,14,32,23.509,2
202312301,1230,18,14,23.15,1
202312301,1230,18,31,23.035,2
202312301,1230,55,45,23.027,1
202312301,1230,23,45,25.424,1
202312301,1230,23,47,24.272,2
202312301,1230,10,11,23.977,1
202312301,1230,7,23,24.345,1
202312301,1230,7,31,22.57,2
202312301,1230,31,24,25.393,1
202312301,1230,87,42,24.621,1
202312301,1230,87,46,25.662,2
202312301,1230,22,19,22.432,1
202312301,1230,22,26,24.773,2
202312301,1230,20,47,25.556,1
202312301,1230,20,27,24.62,2
202312301,1230,27,27,24.471,1
202312301,1230,27,39,22.597,2
202312301,1230,5,28,24.684,1
202312311,1231,4,27,26.151,1
202312311,1231,81,23,25.411,1
202312311,1231,16,11,23.891,1
202312311,1231,44,13,23.897,1
202312311,1231,1,30,24.276,1
202312311,1231,30,41,23.794,1
202312311,1231,30,14,22.972,2
202312311,1231,63,32,22.492,1
202312311,1231,12,43,23.396,1
202312311,1231,12,21,23.429,2
202312311,1231,14,47,23.257,1
202312311,1231,18,16,24.737,1
202312311,1231,18,14,25.96,2
202312311,1231,55,30,24.304,1
202312311,1231,55,29,24.753,2
202312311,1231,23,27,24.511,1
202312311,1231,23,28,24.17,2
202312311,1231,10,16,26.039,1
202312311,1231,7,38,22.049,1
202312311,1231,31,49,22.396,1
202312311,1231,31,13,23.433,2
202312311,1231,87,10,23.904,1
202312311,1231,87,26,24.171,2
202312311,1231,22,16,23.619,1
202312311,1231,20,28,23.692,1
202312311,1231,20,25,22.517,2
202312311,1231,27,16,24.42,1
202312311,1231,27,47,24.618,2
202312311,1231,5,16,23.822,1
202312321,1232,4,26,25.317,1
202312321,1232,81,49,24.636,1
202312321,1232,81,14,25.125,2
202312321,1232,16,32,23.161,1
202312321,1232,44,46,23.729,1
202312321,1232,44,49,24.754,2
202312321,1232,1,15,24.604,1
202312321,1232,1,28,24.09,2
202312321,1232,30,15,22.027,1
202312321,1232,63,41,22.051,1
202312321,1232,63,40,24.313,2
202312321,1232,12,43,25.493,1
202312321,1232,14,21,24.091,1
202312321,1232,18,33,24.209,1
202312321,1232,55,46,24.519,1
202312321,1232,23,37,23.081,1
202312321,1232,10,43,26.504,1
202312321,1232,7,23,24.272,1
202312321,1232,7,47,25.545,2
202312321,1232,31,48,23.007,1
202312321,1232,31,23,23.453,2
202312321,1232,87,32,22.691,1
202312321,1232,22,25,22.564,1
202312321,1232,20,26,23.492,1
202312321,1232,27,43,25.477,1
202312321,1232,5,19,24.511,1
202312321,1232,5,26,23.37,2
202312331,1233,4,14,23.848,1
202312331,1233,81,45,23.695,1
202312331,1233,16,36,24.708,1
202312331,1233,44,21,24.076,1
202312331,1233,44,11,26.627,2
202312331,1233,1,26,25.318,1
202312331,1233,1,10,23.588,2
202312331,1233,30,29,25.559,1
202312331,1233,30,27,24.275,2
202312331,1233,63,10,23.802,1
202312331,1233,12,15,23.549,1
202312331,1233,14,26,24.557,1
202312331,1233,18,20,24.851,1
202312331,1233,18,16,23.753,2
202312331,1233,55,16,23.846,1
202312331,1233,23,36,23.873,1
202312331,1233,10,23,24.07,1
202312331,1233,7,39,22.536,1
202312331,1233,7,46,21.407,2
202312331,1233,31,35,22.947,1
202312331,1233,87,16,24.661,1
202312331,1233,87,11,23.66,2
202312331,1233,22,35,25.486,1
202312331,1233,20,11,22.177,1
202312331,1233,27,34,24.674,1
202312331,1233,27,24,24.53,2
202312331,1233,5,12,23.682,1
202312331,1233,5,23,25.983,2
202312341,1234,4,32,23.566,1
202312341,1234,81,16,23.963,1
202312341,1234,81,31,23.42,2
202312341,1234,16,41,25.042,1
202312341,1234,16,28,22.992,2
202312341,1234,44,48,23.64,1
202312341,1234,44,18,24.184,2
