session_key,meeting_key,date,session_name,session_type
202312291,1229,2023-03-01,Race,Race
202312290,1229,2023-02-28,Qualifying,Qualifying
202312301,1230,2023-03-01,Race,Race
202312300,1230,2023-02-28,Qualifying,Qualifying
202312311,1231,2023-03-01,Race,Race
202312310,1231,2023-02-28,Qualifying,Qualifying
202312321,1232,2023-03-01,Race,Race
202312320,1232,2023-02-28,Qualifying,Qualifying
202312331,1233,2023-03-01,Race,Race
202312330,1233,2023-02-28,Qualifying,Qualifying
202312341,1234,2023-03-01,Race,Race
202312340,1234,2023-02-28,Qualifying,Qualifying
202312351,1235,2023-03-01,Race,Race
202312350,1235,2023-02-28,Qualifying,Qualifying
202312361,1236,2023-03-01,Race,Race
202312360,1236,2023-02-28,Qualifying,Qualifying
202312371,1237,2023-03-01,Race,Race
202312370,1237,2023-02-28,Qualifying,Qualifying
202312381,1238,2023-03-01,Race,Race
202312380,1238,2023-02-28,Qualifying,Qualifying
202312391,1239,2023-03-01,Race,Race
202312390,1239,2023-02-28,Qualifying,Qualifying
202312401,1240,2023-03-01,Race,Race
202312400,1240,2023-02-28,Qualifying,Qualifying
202312411,1241,2023-03-01,Race,Race
202312410,1241,2023-02-28,Qualifying,Qualifying
202312421,1242,2023-03-01,Race,Race
202312420,1242,2023-02-28,Qualifying,Qualifying
202312431,1243,2023-03-01,Race,Race
202312430,1243,2023-02-28,Qualifying,Qualifying
202312441,1244,2023-03-01,Race,Race
202312440,1244,2023-02-28,Qualifying,Qualifying
202312451,1245,2023-03-01,Race,Race
202312450,1245,2023-02-28,Qualifying,Qualifying
202312461,1246,2023-03-01,Race,Race
202312460,1246,2023-02-28,Qualifying,Qualifying
202312471,1247,2023-03-01,Race,Race
202312470,1247,2023-02-28,Qualifying,Qualifying
202312481,1248,2023-03-01,Race,Race
202312480,1248,2023-02-28,Qualifying,Qualifying
202312501,1250,2023-03-01,Race,Race
202312500,1250,2023-02-28,Qualifying,Qualifying
202312511,1251,2023-03-01,Race,Race
202312510,1251,2023-02-28,Qualifying,Qualifying
202312521,1252,2023-03-01,Race,Race
202312520,1252,2023-02-28,Qualifying,Qualifying
202312531,1253,2023-03-01,Race,Race
202312530,1253,2023-02-28,Qualifying,Qualifying
