meeting_key,session_key,driver_number,year,lap_number,lap_duration
1229,202312291,4,2023,1,89.0800378506742
1229,202312291,81,2023,1,89.07870143305121
1229,202312291,16,2023,1,89.0943522538106
1229,202312291,44,2023,1,89.09515984176033
1229,202312291,1,2023,1,89.07121713295177
1229,202312291,30,2023,1,89.06050104790398
1229,202312291,63,2023,1,89.12700205904873
1229,202312291,12,2023,1,89.12492594854474
1229,202312291,14,2023,1,89.25568037272498
1229,202312291,18,2023,1,89.26752542058016
1229,202312291,55,2023,1,89.30978493050415
1229,202312291,23,2023,1,89.3146424387092
1229,202312291,10,2023,1,89.32769266686668
1229,202312291,7,2023,1,89.32750085968189
1229,202312291,31,2023,1,89.42700770858802
1229,202312291,87,2023,1,89.42595147372845
1229,202312291,22,2023,1,89.355815926243
1229,202312291,20,2023,1,89.36709954774145
1229,202312291,27,2023,1,89.49923345130642
1229,202312291,5,2023,1,89.49561468656766
1229,202312292,4,2023,1,102.64422521639729
1229,202312292,81,2023,1,102.50738235604045
1229,202312292,16,2023,1,102.69984600220812
1229,202312292,44,2023,1,102.74600337777159
1229,202312292,1,2023,1,102.31927392419851
1229,202312292,30,2023,1,102.52313169096921
1229,202312292,63,2023,1,102.79188088641007
1229,202312292,12,2023,1,103.04339388122375
1229,202312292,14,2023,1,102.60871535342736
1229,202312292,18,2023,1,103.04019093926807
1229,202312292,55,2023,1,102.99447327050203
1229,202312292,23,2023,1,102.84142140509503
1229,202312292,10,2023,1,103.05607841976749
1229,202312292,7,2023,1,103.0356146549197
1229,202312292,31,2023,1,103.23169367906323
1229,202312292,87,2023,1,103.03648079511665
1229,202312292,22,2023,1,102.81462279249607
1229,202312292,20,2023,1,103.16467540351908
1229,202312292,27,2023,1,102.74537959555589
1229,202312292,5,2023,1,103.00451089874272
1230,202312301,4,2023,1,88.75043116893158
1230,202312301,81,2023,1,88.75795173871974
1230,202312301,16,2023,1,88.70708826969098
1230,202312301,44,2023,1,88.71324023251363
1230,202312301,1,2023,1,88.76400370379336
1230,202312301,30,2023,1,88.76015673419009
1230,202312301,63,2023,1,88.75457789784264
1230,202312301,12,2023,1,88.75450905102505
1230,202312301,14,2023,1,88.87103881162649
1230,202312301,18,2023,1,88.85730459677026
1230,202312301,55,2023,1,88.81975061561018
1230,202312301,23,2023,1,88.82125615940588
1230,202312301,10,2023,1,88.9603719929416
1230,202312301,7,2023,1,88.97385034493517
1230,202312301,31,2023,1,88.96998835365096
1230,202312301,87,2023,1,88.96993220196167
1230,202312301,22,2023,1,88.95014376767513
1230,202312301,20,2023,1,88.96793106185523
1230,202312301,27,2023,1,89.08464323831053
1230,202312301,5,2023,1,89.07489952774013
1230,202312302,4,2023,1,101.7291086740687
1230,202312302,81,2023,1,102.00918286556472
1230,202312302,16,2023,1,102.3090639874599
1230,202312302,44,2023,1,101.93533370738153
1230,202312302,1,2023,1,101.91357963623244
1230,202312302,30,2023,1,102.30462980135684
1230,202312302,63,2023,1,102.18416198721737
1230,202312302,12,2023,1,102.4756040582365
1230,202312302,14,2023,1,102.18664429017447
1230,202312302,18,2023,1,102.71556137463139
1230,202312302,55,2023,1,102.77417528014342
1230,202312302,23,2023,1,102.30455799402156
1230,202312302,10,2023,1,102.59682213912869
1230,202312302,7,2023,1,102.79849063888827
1230,202312302,31,2023,1,102.3421324571573
1230,202312302,87,2023,1,102.91786704962333
1230,202312302,22,2023,1,102.73500357500504
1230,202312302,20,2023,1,102.93368055793128
1230,202312302,27,2023,1,102.496248989966
1230,202312302,5,2023,1,103.12730977665892
