session_key,meeting_key,driver_number,position,points,grid_position,status
202412291,1229,4,1,25,12,Finished
202412291,1229,44,2,18,8,Finished
202412291,1229,16,3,15,6,Finished
202412291,1229,63,4,0,11,Finished
202412291,1229,81,5,0,2,Finished
202412291,1229,22,6,0,18,Finished
202412291,1229,1,7,0,16,Finished
202412291,1229,14,8,0,19,Finished
202412291,1229,12,9,0,6,Finished
202412291,1229,55,10,0,6,Finished
202412291,1229,30,11,0,12,Finished
202412291,1229,18,12,0,4,Finished
202412291,1229,10,13,0,20,Finished
202412291,1229,7,14,0,7,Finished
202412291,1229,23,15,0,18,Finished
202412291,1229,31,16,0,18,Finished
202412291,1229,27,17,0,11,Finished
202412291,1229,5,18,0,20,Finished
202412291,1229,87,19,0,12,Finished
202412291,1229,20,20,0,13,Finished
202412301,1230,30,1,25,6,Finished
202412301,1230,16,2,18,5,Finished
202412301,1230,44,3,15,8,Finished
202412301,1230,12,4,0,8,Finished
202412301,1230,81,5,0,19,Finished
202412301,1230,55,6,0,1,Finished
202412301,1230,14,7,0,9,Finished
202412301,1230,1,8,0,10,Finished
202412301,1230,4,9,0,5,Finished
202412301,1230,63,10,0,18,Finished
202412301,1230,31,11,0,20,Finished
202412301,1230,23,12,0,9,Finished
202412301,1230,7,13,0,17,Finished
202412301,1230,22,14,0,7,Finished
202412301,1230,27,15,0,20,Finished
202412301,1230,18,16,0,11,Finished
202412301,1230,10,17,0,16,Finished
202412301,1230,20,18,0,8,Finished
202412301,1230,87,19,0,13,Finished
202412301,1230,5,20,0,15,Finished
202412311,1231,12,1,25,17,Finished
202412311,1231,63,2,18,15,Finished
202412311,1231,4,3,15,4,Finished
202412311,1231,44,4,0,12,Finished
202412311,1231,14,5,0,16,Finished
202412311,1231,22,6,0,2,Finished
202412311,1231,18,7,0,2,Finished
202412311,1231,16,8,0,11,Finished
202412311,1231,30,9,0,19,Finished
202412311,1231,1,10,0,18,Finished
202412311,1231,55,11,0,13,Finished
202412311,1231,23,12,0,2,Finished
202412311,1231,81,13,0,11,Finished
202412311,1231,31,14,0,13,Finished
202412311,1231,87,15,0,18,Finished
202412311,1231,10,16,0,20,Finished
202412311,1231,20,17,0,3,Finished
202412311,1231,7,18,0,5,Finished
202412311,1231,27,19,0,12,Finished
202412311,1231,5,20,0,7,Finished
202412321,1232,4,1,25,19,Finished
202412321,1232,1,2,18,9,Finished
202412321,1232,55,3,15,4,Finished
202412321,1232,14,4,0,10,Finished
202412321,1232,12,5,0,4,Finished
202412321,1232,81,6,0,17,Finished
202412321,1232,44,7,0,2,Finished
202412321,1232,23,8,0,19,Finished
202412321,1232,10,9,0,15,Finished
202412321,1232,30,10,0,1,Finished
202412321,1232,16,11,0,15,Finished
202412321,1232,18,12,0,15,Finished
202412321,1232,63,13,0,7,Finished
202412321,1232,27,14,0,14,Finished
202412321,1232,31,15,0,19,Finished
202412321,1232,5,16,0,2,Finished
202412321,1232,20,17,0,18,Finished
202412321,1232,22,18,0,16,Finished
202412321,1232,7,19,0,4,Finished
202412321,1232,87,20,0,18,Finished
