meeting_key,session_key,year,rainfall,track_temperature,air_temperature
1229,202412291,2024,0.0,40.0,25.0
1229,202412292,2024,1.0,20.0,18.0
1230,202412301,2024,0.0,40.0,25.0
1230,202412302,2024,1.0,20.0,18.0
1231,202412311,2024,0.0,40.0,25.0
1231,202412312,2024,1.0,20.0,18.0
1232,202412321,2024,0.0,40.0,25.0
1232,202412322,2024,1.0,20.0,18.0
1233,202412331,2024,0.0,40.0,25.0
1233,202412332,2024,1.0,20.0,18.0
1234,202412341,2024,0.0,40.0,25.0
1234,202412342,2024,1.0,20.0,18.0
1235,202412351,2024,0.0,40.0,25.0
1235,202412352,2024,1.0,20.0,18.0
1236,202412361,2024,0.0,40.0,25.0
1236,202412362,2024,1.0,20.0,18.0
1237,202412371,2024,0.0,40.0,25.0
1237,202412372,2024,1.0,20.0,18.0
1238,202412381,2024,0.0,40.0,25.0
1238,202412382,2024,1.0,20.0,18.0
1239,202412391,2024,0.0,40.0,25.0
1239,202412392,2024,1.0,20.0,18.0
1240,202412401,2024,0.0,40.0,25.0
1240,202412402,2024,1.0,20.0,18.0
1241,202412411,2024,0.0,40.0,25.0
1241,202412412,2024,1.0,20.0,18.0
1242,202412421,2024,0.0,40.0,25.0
1242,202412422,2024,1.0,20.0,18.0
1243,202412431,2024,0.0,40.0,25.0
1243,202412432,2024,1.0,20.0,18.0
1244,202412441,2024,0.0,40.0,25.0
1244,202412442,2024,1.0,20.0,18.0
1245,202412451,2024,0.0,40.0,25.0
1245,202412452,2024,1.0,20.0,18.0
1246,202412461,2024,0.0,40.0,25.0
1246,202412462,2024,1.0,20.0,18.0
1247,202412471,2024,0.0,40.0,25.0
1247,202412472,2024,1.0,20.0,18.0
1248,202412481,2024,0.0,40.0,25.0
1248,202412482,2024,1.0,20.0,18.0
1250,202412501,2024,0.0,40.0,25.0
1250,202412502,2024,1.0,20.0,18.0
1251,202412511,2024,0.0,40.0,25.0
1251,202412512,2024,1.0,20.0,18.0
1252,202412521,2024,0.0,40.0,25.0
1252,202412522,2024,1.0,20.0,18.0
1253,202412531,2024,0.0,40.0,25.0
1253,202412532,2024,1.0,20.0,18.0
