session_key,meeting_key,driver_number,position
202412291,1229,12,1
202412291,1229,5,2
202412291,1229,16,3
202412291,1229,1,4
202412291,1229,14,5
202412291,1229,18,6
202412291,1229,87,7
202412291,1229,22,8
202412291,1229,23,9
202412291,1229,27,10
202412291,1229,44,11
202412291,1229,55,12
202412291,1229,63,13
202412291,1229,4,14
202412291,1229,81,15
202412291,1229,30,16
202412291,1229,20,17
202412291,1229,31,18
202412291,1229,10,19
202412291,1229,7,20
202412301,1230,1,1
202412301,1230,23,2
202412301,1230,22,3
202412301,1230,31,4
202412301,1230,12,5
202412301,1230,30,6
202412301,1230,81,7
202412301,1230,5,8
202412301,1230,14,9
202412301,1230,44,10
202412301,1230,16,11
202412301,1230,55,12
202412301,1230,4,13
202412301,1230,27,14
202412301,1230,10,15
202412301,1230,63,16
202412301,1230,20,17
202412301,1230,18,18
202412301,1230,87,19
202412301,1230,7,20
202412311,1231,5,1
202412311,1231,27,2
202412311,1231,20,3
202412311,1231,87,4
202412311,1231,1,5
202412311,1231,30,6
202412311,1231,16,7
202412311,1231,44,8
202412311,1231,10,9
202412311,1231,63,10
202412311,1231,23,11
202412311,1231,14,12
202412311,1231,31,13
202412311,1231,12,14
202412311,1231,7,15
202412311,1231,4,16
202412311,1231,22,17
202412311,1231,81,18
202412311,1231,18,19
202412311,1231,55,20
202412321,1232,14,1
202412321,1232,10,2
202412321,1232,31,3
202412321,1232,55,4
202412321,1232,18,5
202412321,1232,81,6
202412321,1232,4,7
202412321,1232,27,8
202412321,1232,87,9
202412321,1232,63,10
202412321,1232,5,11
202412321,1232,22,12
202412321,1232,7,13
202412321,1232,44,14
202412321,1232,12,15
202412321,1232,30,16
202412321,1232,16,17
202412321,1232,20,18
202412321,1232,1,19
202412321,1232,23,20
202412331,1233,27,1
202412331,1233,81,2
202412331,1233,7,3
202412331,1233,30,4
202412331,1233,14,5
202412331,1233,20,6
202412331,1233,44,7
202412331,1233,10,8
202412331,1233,5,9
202412331,1233,23,10
202412331,1233,16,11
202412331,1233,22,12
202412331,1233,55,13
202412331,1233,18,14
202412331,1233,63,15
202412331,1233,87,16
202412331,1233,1,17
202412331,1233,12,18
202412331,1233,4,19
202412331,1233,31,20
202412341,1234,27,1
202412341,1234,16,2
202412341,1234,22,3
202412341,1234,1,4
202412341,1234,18,5
202412341,1234,31,6
202412341,1234,7,7
202412341,1234,44,8
202412341,1234,30,9
202412341,1234,63,10
202412341,1234,4,11
202412341,1234,12,12
202412341,1234,20,13
202412341,1234,23,14
202412341,1234,14,15
202412341,1234,87,16
202412341,1234,5,17
202412341,1234,10,18
202412341,1234,81,19
202412341,1234,55,20
202412351,1235,87,1
202412351,1235,1,2
202412351,1235,10,3
202412351,1235,16,4
202412351,1235,14,5
202412351,1235,7,6
202412351,1235,20,7
202412351,1235,63,8
202412351,1235,55,9
202412351,1235,31,10
202412351,1235,27,11
202412351,1235,30,12
202412351,1235,4,13
202412351,1235,12,14
202412351,1235,5,15
202412351,1235,44,16
202412351,1235,18,17
202412351,1235,22,18
202412351,1235,23,19
202412351,1235,81,20
202412361,1236,1,1
202412361,1236,18,2
202412361,1236,10,3
202412361,1236,55,4
202412361,1236,16,5
202412361,1236,87,6
202412361,1236,7,7
202412361,1236,14,8
202412361,1236,20,9
202412361,1236,31,10
202412361,1236,44,11
202412361,1236,22,12
202412361,1236,63,13
202412361,1236,4,14
202412361,1236,23,15
202412361,1236,81,16
202412361,1236,30,17
202412361,1236,12,18
202412361,1236,27,19
202412361,1236,5,20
202412371,1237,44,1
202412371,1237,5,2
202412371,1237,18,3
202412371,1237,20,4
202412371,1237,55,5
202412371,1237,23,6
202412371,1237,27,7
202412371,1237,30,8
202412371,1237,1,9
202412371,1237,12,10
202412371,1237,4,11
202412371,1237,7,12
202412371,1237,22,13
202412371,1237,10,14
202412371,1237,14,15
202412371,1237,16,16
202412371,1237,87,17
202412371,1237,63,18
202412371,1237,31,19
202412371,1237,81,20
202412381,1238,16,1
202412381,1238,4,2
202412381,1238,81,3
202412381,1238,22,4
202412381,1238,87,5
202412381,1238,55,6
202412381,1238,7,7
202412381,1238,1,8
202412381,1238,20,9
202412381,1238,63,10
202412381,1238,10,11
202412381,1238,5,12
202412381,1238,27,13
202412381,1238,23,14
202412381,1238,44,15
202412381,1238,31,16
202412381,1238,12,17
202412381,1238,30,18
202412381,1238,14,19
202412381,1238,18,20
202412391,1239,20,1
202412391,1239,5,2
202412391,1239,30,3
202412391,1239,63,4
202412391,1239,10,5
202412391,1239,18,6
202412391,1239,22,7
202412391,1239,27,8
202412391,1239,16,9
202412391,1239,14,10
202412391,1239,12,11
202412391,1239,31,12
202412391,1239,55,13
202412391,1239,7,14
202412391,1239,4,15
202412391,1239,44,16
202412391,1239,87,17
202412391,1239,81,18
202412391,1239,23,19
202412391,1239,1,20
202412401,1240,5,1
202412401,1240,31,2
202412401,1240,22,3
202412401,1240,20,4
202412401,1240,12,5
202412401,1240,7,6
202412401,1240,10,7
202412401,1240,18,8
202412401,1240,27,9
202412401,1240,30,10
202412401,1240,81,11
202412401,1240,14,12
202412401,1240,63,13
202412401,1240,1,14
202412401,1240,4,15
202412401,1240,16,16
202412401,1240,23,17
202412401,1240,87,18
202412401,1240,44,19
202412401,1240,55,20
202412411,1241,55,1
202412411,1241,44,2
202412411,1241,14,3
202412411,1241,5,4
202412411,1241,10,5
202412411,1241,27,6
202412411,1241,22,7
202412411,1241,1,8
202412411,1241,87,9
202412411,1241,4,10
202412411,1241,12,11
202412411,1241,16,12
202412411,1241,63,13
202412411,1241,23,14
202412411,1241,18,15
202412411,1241,81,16
202412411,1241,31,17
202412411,1241,20,18
202412411,1241,7,19
202412411,1241,30,20
202412421,1242,12,1
202412421,1242,30,2
202412421,1242,7,3
202412421,1242,22,4
202412421,1242,14,5
202412421,1242,87,6
202412421,1242,31,7
202412421,1242,27,8
202412421,1242,1,9
202412421,1242,16,10
202412421,1242,18,11
202412421,1242,63,12
202412421,1242,55,13
202412421,1242,44,14
202412421,1242,10,15
202412421,1242,4,16
202412421,1242,81,17
202412421,1242,20,18
202412421,1242,23,19
202412421,1242,5,20
202412431,1243,10,1
202412431,1243,4,2
202412431,1243,7,3
202412431,1243,31,4
202412431,1243,18,5
202412431,1243,81,6
202412431,1243,44,7
202412431,1243,22,8
202412431,1243,5,9
202412431,1243,87,10
202412431,1243,1,11
202412431,1243,20,12
202412431,1243,23,13
202412431,1243,63,14
202412431,1243,27,15
202412431,1243,14,16
202412431,1243,12,17
202412431,1243,16,18
202412431,1243,55,19
202412431,1243,30,20
202412441,1244,12,1
202412441,1244,31,2
202412441,1244,63,3
202412441,1244,27,4
202412441,1244,16,5
202412441,1244,22,6
202412441,1244,44,7
202412441,1244,4,8
202412441,1244,20,9
202412441,1244,87,10
202412441,1244,30,11
202412441,1244,14,12
202412441,1244,81,13
202412441,1244,23,14
202412441,1244,55,15
202412441,1244,1,16
202412441,1244,10,17
202412441,1244,7,18
202412441,1244,5,19
202412441,1244,18,20
202412451,1245,44,1
202412451,1245,87,2
202412451,1245,20,3
202412451,1245,27,4
202412451,1245,18,5
202412451,1245,31,6
202412451,1245,16,7
202412451,1245,14,8
202412451,1245,30,9
202412451,1245,12,10
202412451,1245,1,11
202412451,1245,63,12
202412451,1245,7,13
202412451,1245,23,14
202412451,1245,22,15
202412451,1245,4,16
202412451,1245,55,17
202412451,1245,81,18
202412451,1245,5,19
202412451,1245,10,20
202412461,1246,44,1
202412461,1246,30,2
202412461,1246,5,3
202412461,1246,87,4
202412461,1246,4,5
202412461,1246,10,6
202412461,1246,12,7
202412461,1246,27,8
202412461,1246,63,9
202412461,1246,23,10
202412461,1246,7,11
202412461,1246,16,12
202412461,1246,55,13
202412461,1246,22,14
202412461,1246,18,15
202412461,1246,20,16
202412461,1246,1,17
202412461,1246,14,18
202412461,1246,31,19
