session_key,meeting_key,driver_number,position
202312291,1229,44,1
202312291,1229,81,2
202312291,1229,14,3
202312291,1229,1,4
202312291,1229,23,5
202312291,1229,20,6
202312291,1229,55,7
202312291,1229,16,8
202312291,1229,4,9
202312291,1229,10,10
202312291,1229,22,11
202312291,1229,5,12
202312291,1229,18,13
202312291,1229,12,14
202312291,1229,31,15
202312291,1229,30,16
202312291,1229,7,17
202312291,1229,63,18
202312291,1229,87,19
202312291,1229,27,20
202312301,1230,55,1
202312301,1230,12,2
202312301,1230,44,3
202312301,1230,23,4
202312301,1230,18,5
202312301,1230,5,6
202312301,1230,27,7
202312301,1230,81,8
202312301,1230,10,9
202312301,1230,7,10
202312301,1230,31,11
202312301,1230,4,12
202312301,1230,16,13
202312301,1230,1,14
202312301,1230,63,15
202312301,1230,22,16
202312301,1230,14,17
202312301,1230,87,18
202312301,1230,20,19
202312301,1230,30,20
202312311,1231,1,1
202312311,1231,12,2
202312311,1231,81,3
202312311,1231,14,4
202312311,1231,7,5
202312311,1231,31,6
202312311,1231,16,7
202312311,1231,44,8
202312311,1231,4,9
202312311,1231,63,10
202312311,1231,18,11
202312311,1231,87,12
202312311,1231,20,13
202312311,1231,5,14
202312311,1231,10,15
202312311,1231,22,16
202312311,1231,30,17
202312311,1231,27,18
202312311,1231,23,19
202312311,1231,55,20
202312321,1232,18,1
202312321,1232,27,2
202312321,1232,31,3
202312321,1232,55,4
202312321,1232,23,5
202312321,1232,1,6
202312321,1232,87,7
202312321,1232,5,8
202312321,1232,10,9
202312321,1232,63,10
202312321,1232,22,11
202312321,1232,44,12
202312321,1232,20,13
202312321,1232,12,14
202312321,1232,16,15
202312321,1232,30,16
202312321,1232,7,17
202312321,1232,14,18
202312321,1232,4,19
202312321,1232,81,20
202312331,1233,10,1
202312331,1233,1,2
202312331,1233,12,3
202312331,1233,18,4
202312331,1233,20,5
202312331,1233,31,6
202312331,1233,30,7
202312331,1233,23,8
202312331,1233,14,9
202312331,1233,55,10
202312331,1233,63,11
202312331,1233,16,12
202312331,1233,7,13
202312331,1233,4,14
202312331,1233,22,15
202312331,1233,5,16
202312331,1233,87,17
202312331,1233,27,18
202312331,1233,81,19
202312331,1233,44,20
202312341,1234,87,1
202312341,1234,27,2
202312341,1234,63,3
202312341,1234,20,4
202312341,1234,55,5
202312341,1234,81,6
202312341,1234,12,7
202312341,1234,18,8
202312341,1234,16,9
202312341,1234,22,10
202312341,1234,23,11
202312341,1234,30,12
202312341,1234,1,13
202312341,1234,7,14
202312341,1234,14,15
202312341,1234,44,16
202312341,1234,4,17
202312341,1234,5,18
202312341,1234,10,19
202312341,1234,31,20
202312351,1235,4,1
202312351,1235,22,2
